x,y,u,v,p
0,0,0,0,0.118358
0.00333333,0,0,0,0.118358
0.01,0,0,0,0.1183591
0.0166667,0,0,0,0.1183615
0.0233333,0,0,0,0.1183654
0.03,0,0,0,0.1183704
0.0366667,0,0,0,0.1183738
0.0433333,0,0,0,0.1183772
0.05,0,0,0,0.118379
0.0566667,0,0,0,0.118379
0.0633333,0,0,0,0.1183756
0.07,0,0,0,0.1183703
0.0766667,0,0,0,0.1183624
0.0833333,0,0,0,0.1183522
0.09,0,0,0,0.1183402
0.0966667,0,0,0,0.118326
0.103333,0,0,0,0.1183114
0.11,0,0,0,0.1182951
0.116667,0,0,0,0.1182783
0.123333,0,0,0,0.1182613
0.13,0,0,0,0.1182442
0.136667,0,0,0,0.1182266
0.143333,0,0,0,0.1182091
0.15,0,0,0,0.1181911
0.156667,0,0,0,0.1181723
0.163333,0,0,0,0.1181532
0.17,0,0,0,0.1181317
0.176667,0,0,0,0.1181088
0.183333,0,0,0,0.1180841
0.19,0,0,0,0.1180556
0.196667,0,0,0,0.1180249
0.203333,0,0,0,0.1179894
0.21,0,0,0,0.1179495
0.216667,0,0,0,0.1179049
0.223333,0,0,0,0.1178551
0.23,0,0,0,0.1177987
0.236667,0,0,0,0.1177365
0.243333,0,0,0,0.1176659
0.25,0,0,0,0.1175875
0.256667,0,0,0,0.1174994
0.263333,0,0,0,0.1174011
0.27,0,0,0,0.1172898
0.276667,0,0,0,0.1171655
0.283333,0,0,0,0.1170271
0.29,0,0,0,0.1168717
0.296667,0,0,0,0.1166987
0.303333,0,0,0,0.1165063
0.31,0,0,0,0.1162921
0.316667,0,0,0,0.1160548
0.323333,0,0,0,0.1157947
0.33,0,0,0,0.1155104
0.336667,0,0,0,0.1151979
0.343333,0,0,0,0.114861
0.35,0,0,0,0.1144987
0.356667,0,0,0,0.1141117
0.363333,0,0,0,0.1137017
0.37,0,0,0,0.1132743
0.376667,0,0,0,0.1128302
0.383333,0,0,0,0.1123763
0.39,0,0,0,0.1119189
0.396667,0,0,0,0.1114637
0.403333,0,0,0,0.1110204
0.41,0,0,0,0.1105971
0.416667,0,0,0,0.110203
0.423333,0,0,0,0.1098475
0.43,0,0,0,0.1095445
0.436667,0,0,0,0.1092999
0.443333,0,0,0,0.1091216
0.45,0,0,0,0.1090284
0.456667,0,0,0,0.1090206
0.463333,0,0,0,0.1091045
0.47,0,0,0,0.1092928
0.476667,0,0,0,0.1095869
0.483333,0,0,0,0.1099864
0.49,0,0,0,0.1104932
0.496667,0,0,0,0.1111123
0.503333,0,0,0,0.1118317
0.51,0,0,0,0.112645
