x,y,u,v,p
0,0,0,0,0.1195956
0.005,0,0,0,0.1195969
0.015,0,0,0,0.1196065
0.025,0,0,0,0.1196199
0.035,0,0,0,0.1196286
0.045,0,0,0,0.1196275
0.055,0,0,0,0.1196141
0.065,0,0,0,0.1195879
0.075,0,0,0,0.1195502
0.085,0,0,0,0.119503
0.095,0,0,0,0.1194488
0.105,0,0,0,0.1193901
0.115,0,0,0,0.1193288
0.125,0,0,0,0.1192659
0.135,0,0,0,0.1192017
0.145,0,0,0,0.1191354
0.155,0,0,0,0.1190656
0.165,0,0,0,0.11899
0.175,0,0,0,0.1189065
0.185,0,0,0,0.1188124
0.195,0,0,0,0.1187055
0.205,0,0,0,0.1185834
0.215,0,0,0,0.1184442
0.225,0,0,0,0.1182858
0.235,0,0,0,0.1181062
0.245,0,0,0,0.1179033
0.255,0,0,0,0.1176751
0.265,0,0,0,0.1174194
0.275,0,0,0,0.1171341
0.285,0,0,0,0.1168174
0.295,0,0,0,0.1164683
0.305,0,0,0,0.1160861
0.315,0,0,0,0.1156714
0.325,0,0,0,0.1152257
0.335,0,0,0,0.1147522
0.345,0,0,0,0.1142558
0.355,0,0,0,0.1137429
0.365,0,0,0,0.1132222
0.375,0,0,0,0.1127042
0.385,0,0,0,0.1122014
0.395,0,0,0,0.1117278
0.405,0,0,0,0.1112989
0.415,0,0,0,0.1109308
0.425,0,0,0,0.1106403
0.435,0,0,0,0.1104436
0.445,0,0,0,0.1103556
0.455,0,0,0,0.1103899
0.465,0,0,0,0.110557
0.475,0,0,0,0.1108643
0.485,0,0,0,0.1113152
0.495,0,0,0,0.1119083
0.505,0,0,0,0.112637
0.515,0,0,0,0.1134891
0.525,0,0,0,0.1144466
0.535,0,0,0,0.1154858
0.545,0,0,0,0.1165773
0.555,0,0,0,0.117687
0.565,0,0,0,0.1187767
0.575,0,0,0,0.1198059
0.585,0,0,0,0.1207333
0.595,0,0,0,0.121519
0.605,0,0,0,0.1221268
0.615,0,0,0,0.1225267
0.625,0,0,0,0.122697
0.635,0,0,0,0.1226262
0.645,0,0,0,0.122314
0.655,0,0,0,0.1217719
0.665,0,0,0,0.1210225
0.675,0,0,0,0.1200977
0.685,0,0,0,0.1190371
0.695,0,0,0,0.1178843
0.705,0,0,0,0.1166845
0.715,0,0,0,0.1154808
0.725,0,0,0,0.1143123
0.735,0,0,0,0.1132115
0.745,0,0,0,0.1122032
0.755,0,0,0,0.1113044
0.765,0,0,0,0.1105238
