x,y,u,v,p
0.00453821,0.0643368,-0.0009524222110174921,-0.016857790645998544,0.12803909598171703
0.00561912,0.0667295,0.019427227207967614,0.013788521821962097,-0.002807213225474772
0.00660259,0.0683287,0.02640299978412148,0.0349215619806926,-0.08658071430946897
0.00754573,0.0695994,0.03491706131147426,0.04619864374580352,-0.13578974978796646
0.00846516,0.070677,0.036198531111385365,0.03604967125341514,-0.17207286234415453
0.00936848,0.0716234,0.04118212598902046,0.03308969686366196,-0.20432622774868808
0.0102599,0.0724733,0.04883860433615969,0.03261568656386374,-0.2352131106202684
0.0111422,0.073248,0.052619824300330936,0.034352852865489586,-0.26123400242685735
0.012017,0.0739623,0.04929024629659508,0.030647013533613893,-0.2835564176310546
0.0128857,0.0746266,0.0447441696415648,0.025328393049861293,-0.30372110055117996
0.0137492,0.0752484,0.038753848146471634,0.01992375729490991,-0.3216802543275431
0.0146081,0.0758336,0.033218876732599704,0.017464348344074492,-0.337948789327997
0.0154632,0.0763871,0.030008344107079477,0.018299323536051865,-0.353048749701134
0.0163148,0.0769123,0.02931925828898843,0.021350623824485868,-0.367048239002685
0.0171633,0.0774125,0.03019801410037735,0.023611760982133155,-0.38007206737843674
0.0180091,0.0778902,0.028729758872426944,0.01893228223967579,-0.393059034497097
0.0188524,0.0783474,0.02809932801426724,0.013312921192608945,-0.4062398495965397
0.0196933,0.0787859,0.025941512256281572,0.008057126443864738,-0.4171177975048968
0.0205322,0.0792074,0.020967602372032546,0.0019678071992911012,-0.4254015071183443
0.0213691,0.0796132,0.014220523596143175,-0.0012565540954702754,-0.43103273017265953
0.0222043,0.0800045,0.006699228239549118,-0.002660532709578537,-0.43450090947962744
0.0230378,0.0803822,-0.0008952011373353124,-0.0038422301507743343,-0.43656860958729615
0.0238697,0.0807473,-0.006396166996233739,-0.00438010163120111,-0.4380151014490916
0.0247002,0.0811007,-0.01053814439134304,-0.005739249742879997,-0.43997797158984553
0.0255294,0.081443,-0.011951567313273712,-0.00627400772058995,-0.4423491544766014
0.0263573,0.0817749,-0.012378379458113714,-0.006721919244966929,-0.44524384390742067
0.0271839,0.082097,-0.011050309914922328,-0.007320443086407174,-0.44793056747734467
0.0280095,0.0824098,-0.008795755840188373,-0.0074854422564677794,-0.4504576596702372
0.0288339,0.0827139,-0.0061877861453903185,-0.0069988890159424595,-0.4528891191943514
0.0296573,0.0830096,-0.0030034155128460657,-0.006328734298615789,-0.45516554934173925
